"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2022","AQS","490352005","1","4.3","ug/m3 LC","18","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/02/2022","AQS","490352005","1","8.5","ug/m3 LC","35","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/03/2022","AQS","490352005","1","16.5","ug/m3 LC","60","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/04/2022","AQS","490352005","1","5","ug/m3 LC","21","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/05/2022","AQS","490352005","1","5.2","ug/m3 LC","22","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/06/2022","AQS","490352005","1","6","ug/m3 LC","25","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/07/2022","AQS","490352005","1","2.1","ug/m3 LC","9","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/08/2022","AQS","490352005","1","2.5","ug/m3 LC","10","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/09/2022","AQS","490352005","1","5.8","ug/m3 LC","24","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/10/2022","AQS","490352005","1","14.8","ug/m3 LC","57","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/11/2022","AQS","490352005","1","26.8","ug/m3 LC","82","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/12/2022","AQS","490352005","1","22.6","ug/m3 LC","73","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/13/2022","AQS","490352005","1","26","ug/m3 LC","80","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/14/2022","AQS","490352005","1","25.3","ug/m3 LC","79","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/15/2022","AQS","490352005","1","23.1","ug/m3 LC","74","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/16/2022","AQS","490352005","1","26.4","ug/m3 LC","81","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/17/2022","AQS","490352005","1","32.6","ug/m3 LC","94","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/18/2022","AQS","490352005","1","41","ug/m3 LC","115","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/19/2022","AQS","490352005","1","38","ug/m3 LC","107","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/20/2022","AQS","490352005","1","19.9","ug/m3 LC","67","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/21/2022","AQS","490352005","1","9.4","ug/m3 LC","39","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/22/2022","AQS","490352005","1","8.1","ug/m3 LC","34","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/23/2022","AQS","490352005","1","13.7","ug/m3 LC","54","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/24/2022","AQS","490352005","1","16.6","ug/m3 LC","60","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/25/2022","AQS","490352005","1","9.4","ug/m3 LC","39","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/26/2022","AQS","490352005","1","9.1","ug/m3 LC","38","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/27/2022","AQS","490352005","1","11.5","ug/m3 LC","48","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/28/2022","AQS","490352005","1","15.2","ug/m3 LC","58","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/29/2022","AQS","490352005","1","21.1","ug/m3 LC","70","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/30/2022","AQS","490352005","1","30.1","ug/m3 LC","89","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/31/2022","AQS","490352005","1","14.5","ug/m3 LC","56","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/01/2022","AQS","490352005","1","2.8","ug/m3 LC","12","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/02/2022","AQS","490352005","1","3.5","ug/m3 LC","15","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/03/2022","AQS","490352005","1","7.6","ug/m3 LC","32","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/04/2022","AQS","490352005","1","15.6","ug/m3 LC","58","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/05/2022","AQS","490352005","1","11.8","ug/m3 LC","49","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/06/2022","AQS","490352005","1","12.1","ug/m3 LC","51","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/07/2022","AQS","490352005","1","11.6","ug/m3 LC","48","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/08/2022","AQS","490352005","1","12.9","ug/m3 LC","53","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/09/2022","AQS","490352005","1","12.8","ug/m3 LC","52","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/10/2022","AQS","490352005","1","9.9","ug/m3 LC","41","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/11/2022","AQS","490352005","1","8.8","ug/m3 LC","37","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/12/2022","AQS","490352005","1","9.1","ug/m3 LC","38","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/13/2022","AQS","490352005","1","8.2","ug/m3 LC","34","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/14/2022","AQS","490352005","1","5.6","ug/m3 LC","23","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/15/2022","AQS","490352005","1","4","ug/m3 LC","17","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/16/2022","AQS","490352005","1","2.4","ug/m3 LC","10","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/17/2022","AQS","490352005","1","5.3","ug/m3 LC","22","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/18/2022","AQS","490352005","1","5.8","ug/m3 LC","24","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/19/2022","AQS","490352005","1","3.9","ug/m3 LC","16","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/20/2022","AQS","490352005","1","2.2","ug/m3 LC","9","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/21/2022","AQS","490352005","1","1.5","ug/m3 LC","6","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/22/2022","AQS","490352005","1","3.2","ug/m3 LC","13","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
